event_type,event_date,tail_number,highest_injury_level,fatal_injury_count,serious_injury_count,minor_injury_count,probable_cause,latitude,longitude,airport_id,operator,make,aircraft_damage,model
INC,2022-06-21,N37513,none,0,0,0,flightcrew misidentification intended landing runway result approach land wrong runway contribute incident distraction cause dual reset flight management computer display,40.491501,-80.232902,PIT,united,boeing,no_damage,737
INC,2022-04-27,VH-YFZ,none,0,0,0,reportunavailable,-28.164444,153.504722,OOL,us airways,boeing,Minor,737
INC,2022-04-08,N670UA,none,0,0,0,reportunavailable,52.701944,-8.924722,SNN,united,boeing,Minor,767
INC,2022-03-20,N777AN,none,0,0,0,reportunavailable,0.0,0.0,BCN,american,boeing,Minor,777
INC,2022-02-04,N817SY,none,0,0,0,fatigue failure right main landing gear initiate liquid metal embrittlement cadmium arc burn location outer cylinder tooling hole area arc burn likely result operator error stylus cadmium plating operation overhaul,36.076362,-115.14199,LAS,sun country,boeing,Minor,737
ACC,2022-01-22,N760JB,none,0,0,0,captain rotation airplane pitch rotation speed takeoff surprise encounter head land traffic result exceedance airplane pitch limit subsequent tail strike contribute accident flight crew expectation bias incoming aircraft land runway depart conflict traffic nonstandard use phraseology make position call common traffic advisory frequency,40.2887,-107.1306,HDN,jetblue,airbus,Substantial,A320
ACC,2021-12-13,N307FR,none,0,0,0,captain failure maintain proper pitch attitude landing likely cause improper seat position,36.079812,-115.15344,LAS,frontier,airbus,Substantial,A320
INC,2021-11-24,N1604R,none,0,0,0,reportunavailable,4.70159,-74.1469,BOG,delta,boeing,Minor,767
INC,2021-10-02,N922NK,minor,0,0,4,ingestion bird right engine takeoff roll cause fan blade fracture near blade platform result high fan blade load engine vibration sufficient result eventual failure fuel tube right engine spray fuel hot engine case ignite undercowl engine fire trigger reject takeoff,39.358791,-74.458599,ACY,spirit,airbus,Minor,A320
ACC,2021-09-27,N12125,none,0,0,0,nose high attitude landing result tailstrike,40.692501,-74.168701,EWR,united,boeing,Substantial,757
ACC,2021-09-23,N208HA,none,0,0,0,captain improper landing flare result excessive sink rate subsequent hard landing,21.318701,-157.92199,HNL,hawaiian,airbus,Substantial,A321
ACC,2021-09-01,N196DN,serious,0,1,1,flightcrew failure set hydraulic panel correctly execution pushback checklist hydraulic panel set correct result airplane come sudden stop flight attendant receive injury,47.438408,-122.2997,SEA,delta,boeing,no_damage,767
ACC,2021-08-23,N479AS,serious,0,1,3,passenger use evacuation slide result injury,47.443719,-122.31173,SEA,alaska,boeing,no_damage,737
ACC,2021-08-11,N296UP,none,0,0,0,flight crew incorrect pitch attitude,33.272847,-112.07324,PHX,united,mcdonnell_douglas,Substantial,MD-11
ACC,2021-07-22,N376DN,serious,0,1,0,conduct safety briefing forward flight attendant throw backwards flight deck door sudden stopping airplane flight crew prevent collision bus contribute accident bus driver difficultly observe airplane move roadway,42.212398,-83.353401,DTW,delta,airbus,no_damage,A321
INC,2021-07-20,N624UP,none,0,0,0,reportunavailable,22.310567,114.168694,HKG,united,boeing,Minor,747
ACC,2021-06-25,N926UW,serious,0,1,8,inadvertent encounter severe turbulence cruise flight cause flight attendant fall fracture ankle,27.598704,-89.948252,MSY,american,airbus,no_damage,A321
INC,2021-06-10,"N8674B, N197SY",none,0,0,0,block radio instruction air traffic control tower arrival aircraft result arrival aircraft continue landing approach lead loss separation landing aircraft aircraft await departure runway contribute loss separation controller distraction communicate helicopter transition airspace,32.730364,-117.1764,SAN,southwest,boeing,no_damage,737
ACC,2021-05-28,N834NN,none,0,0,0,captain decision adjust flight instrument taxi airplane,32.897011,-97.043173,DFW,american,boeing,Substantial,737
ACC,2021-05-21,"N289CT, N8686A",none,0,0,0,failure flight crew provide sufficient clearance taxi past stop,41.785,-87.752,MDW,southwest,boeing,Substantial,737
INC,2021-04-29,"N306NV, N370SD",none,0,0,0,air traffic controller failure properly scan runway local area general loss situational awareness result near midair collision contribute incident cessna pilot poor decision making fail fly standard downwind leg distance runway maintain standard traffic pattern altitude,27.902228,-82.686946,PIE,allegiant,airbus,no_damage,A319
ACC,2021-03-15,N789AN,serious,0,1,0,encounter clear air turbulence approach,32.8998,-96.9403,DFW,american,boeing,no_damage,777
INC,2020-12-31,N557AV,none,0,0,0,reportunavailable,4.70159,-74.1469,BOG,american,airbus,Minor,A319
INC,2020-12-30,N73275,none,0,0,0,reportunavailable,9.99386,-84.208801,SJO,united,boeing,Minor,737
INC,2020-12-28,N810NW,none,0,0,0,reportunavailable,0.0,0.0,KEF,delta,airbus,no_damage,A330
ACC,2020-10-24,N674RJ,minor,0,0,9,reportunavailable,26.5481,-78.6963,YGF,american,embraer,Substantial,ERJ-145
ACC,2020-03-21,N193AN,none,0,0,0,excessive pitch attitude touchdown,36.080001,-115.152221,LAS,american,boeing,Substantial,757
INC,2020-02-15,N521NK,none,0,0,0,wear component engine integrate drive generator idg result loss electrical power supply flight deck display system approach land component fix cylinder block significant wearing rework brass liner result idgs produce frequency output outside specify design limit,38.695556,-121.59083,SMF,spirit,airbus,no_damage,A319
ACC,2020-01-11,N1902U,serious,0,1,0,encounter convectively induce turbulence overfly area know convective activity,29.960527,-90.079589,MSY,united,airbus,no_damage,A320
ACC,2020-01-08,N929NN,none,0,0,0,failure deice truck driver maintain appropriate clearance airplane,40.776943,-73.873886,LGA,american,boeing,Substantial,737
ACC,2019-12-22,N87513,none,0,0,0,maintenance personnel excessive grinding left main landing gear aft trunnion pin initial overhaul cause heat damage base metal lead fatigue crack cause pin fail accident flight contribute accident failure maintenance personnel detect excessive grinding initial overhaul fatigue crack subsequent overhaul,39.749443,-105.000801,DEN,united,boeing,Substantial,737
ACC,2019-12-21,N7739A,none,0,0,0,bird strike descent,39.101387,-94.4775,MCI,southwest,boeing,Substantial,737
ACC,2019-12-19,N68802,serious,0,1,0,abrupt stop taxi avoid collision airplane cause flight attendant fall,41.974445,-87.890556,ORD,united,boeing,no_damage,737
ACC,2019-08-27,N328FR,serious,0,1,0,encounter mountain wave turbulence,39.861667,-104.673057,DEN,frontier,airbus,no_damage,A320
ACC,2019-08-26,N911DL,serious,0,1,0,encounter convective turbulence descent,41.974445,-87.906669,ORD,delta,mcdonnell_douglas,no_damage,MD-88
ACC,2019-08-08,N717FR,none,0,0,0,encounter gusty condition low altitude landing crew decision low altitude excessive rotation rate,28.419879,-81.299156,MCO,frontier,airbus,Substantial,A321
ACC,2019-08-06,"N37437, N432UA",none,0,0,0,ramp controller direct boeing hold location mark regional jet,37.615276,-122.389999,SFO,united,boeing,Minor,737
ACC,2019-07-23,N57852,none,0,0,0,failure ground crew maintain clearance parked airplane pushback,37.773887,-122.43138,SFO,united,boeing,Substantial,757
ACC,2019-06-17,N8608N,none,0,0,0,provision truck impact airplane result substantial damage,40.49139,-80.23278,PIT,southwest,boeing,Substantial,737
ACC,2019-06-15,N26123,none,0,0,0,improper landing flare result bounce landing substantial damage,40.692501,-74.168609,EWR,united,boeing,Substantial,757
ACC,2019-06-09,N75436,none,0,0,0,early initiation landing flare result high pitch attitude tailstrike,39.856109,-104.673614,DEN,united,boeing,Substantial,737
ACC,2019-04-12,N31412,serious,0,1,0,miss attach screw aft galley oven allow dislodge landing injure flight attendant,26.531665,-81.761665,RSW,united,boeing,no_damage,737
ACC,2019-04-10,N114NN,none,0,0,0,captain excessive left rudder pedal input takeoff ground roll cause large head deviation left roll rotation result left wingtip strike ground,40.641387,-73.778053,JFK,american,airbus,Substantial,A321
ACC,2019-04-04,N977DL,minor,0,0,1,failure tug driver way taxiing airplane,33.64389,-84.436943,ATL,delta,mcdonnell_douglas,Substantial,MD-88
ACC,2019-03-27,N249WN,none,0,0,0,collision bird,36.124443,-86.678054,BNA,southwest,boeing,Substantial,737
ACC,2019-03-10,"N3756, N591NW",none,0,0,0,failure captain maintain separation airplane stop taxiway,33.640288,-84.427529,ATL,delta,boeing,Minor,737
ACC,2019-01-28,N220FR,none,0,0,0,loss control tug driver pushback operation result contaminated ramp angle towbar airplane engine idle thrust,39.856109,-104.67361,DIA,frontier,airbus,Substantial,A320
ACC,2018-12-31,N938UW,none,0,0,0,inadvertent loss airspeed increase pitch attitude prior touchdown,35.213611,-80.94889,CLT,american,boeing,Substantial,757
INC,2018-12-06,N752SW,none,0,0,0,flight crewmember decision plan continuation bias continue approach despite indication windshear high expect tailwind flight crew misperception airplane touchdown point farth runway crew assume fast expect groundspeed contribute accident southwest airline lack guidance prompt flight crew reassess operator provide landing datum arrival weather condition differ original landing datum calculation,34.200553,-118.35861,BUR,southwest,boeing,Minor,737
ACC,2018-12-03,N868NN,serious,0,1,0,object fall overhead bin strike flight attendant result injury,41.0,-87.906387,ORF,american,boeing,no_damage,737
ACC,2018-09-26,N994AN,serious,0,1,0,passenger leave bag aisle flight attendant trip,32.543888,-97.021942,DFW,american,airbus,no_damage,A321
ACC,2018-09-23,N13113,serious,0,1,0,catering cart strike flight attendant foot,40.692501,-74.168609,EWR,united,boeing,no_damage,757
ACC,2018-09-10,N950NN,serious,0,1,0,inadvertent encounter wake turbulence,33.440555,-111.835556,PHX,american,boeing,no_damage,737
ACC,2018-08-13,N204HA,none,0,0,0,tailstrike cause inappropriate recovery technique bounce landing contribute accident failure radio altimeter cause approach calm flat water recognize flight crew,33.941387,-118.40833,LAX,hawaiian,airbus,Substantial,A321
ACC,2018-07-31,N192AN,none,0,0,0,captain improper control airplane landing flare,39.874443,-75.2425,PHL,american,boeing,Substantial,757
ACC,2018-06-12,N8693A,serious,0,1,0,passenger bump flight attendant hold hot liquid,33.260276,-112.004165,PHX,southwest,boeing,no_damage,737
ACC,2018-05-07,N8655D,none,0,0,0,maintenance truck driver failure way airplane result truck collide taxiing aircraft,39.179164,-76.667221,BWI,southwest,boeing,Substantial,737
ACC,2018-04-18,N806NW,none,0,0,0,flight crew delay landing flight engine fire reignite fire bottle discharge result substantial damage engine pylon contribute delay landing likely flight crew perception fire extinguish disappearance primary engine fire warning indication fire detection loop damage landing soon possible perceive necessary contribute duration fire contamination engine fire isolation system component result hydraulic fluid leak designate engine fire zone engine shutdown fire button press,33.646667,-84.440834,ATL,delta,airbus,Substantial,A330
ACC,2018-04-17,N772SW,fatal,1,8,125,low cycle fatigue crack dovetail fan blade result fan blade separate flight impact engine fan case location critical structural integrity performance fan cowl structure impact lead flight separation fan cowl component include inboard fan cowl aft latch keeper strike fuselage near cabin window cause window depart airplane cabin rapidly depressurize passenger fatality,39.871944,-75.239997,PHL,southwest,boeing,Substantial,737
ACC,2018-02-24,N817NW,serious,0,1,2,inadvertent encounter clear air turbulence,44.884723,-93.215553,MSP,delta,airbus,no_damage,A330
INC,2018-02-13,N773UA,none,0,0,0,fracture fan blade continued classification tai inspection process new emerge technology permit continue accomplish inspection have develop formal define initial recurrent training program inspector certification program lack training result inspector make incorrect evaluation indication result blade crack return service eventually fracture contribute fracture fan blade lack feedback process engineer fan blade inspector send process engineer evaluation indication find,21.317777,-157.920272,HNL,united,boeing,Minor,777
INC,2017-12-29,N412QX,none,0,0,0,flight crew misidentification taxiway landing runway failure runway lighting cause taxiway light illuminate,46.742778,-117.116943,PUW,us airways,bombardier,no_damage,DASH-8
ACC,2017-12-12,N924DL,none,0,0,0,failure flight crew confirm left engine throttle lever idle engine start,42.212501,-83.353332,DTW,delta,mcdonnell_douglas,Substantial,MD-88
ACC,2017-12-03,"N9011P, N344PP",none,0,0,0,failure flight crew maintain appropriate clearance stop taxiway,25.793333,-80.290557,MIA,american,airbus,Minor,A319
INC,2017-11-29,N852DN,none,0,0,0,flight crewmember failure properly monitor airplane flightpath cause approach unstabilized result airplane descent decision altitude misaligned localizer course contribute incident officer delay set thrust captain call captain failure control airplane thrust immediately set cause airplane come ft vertically occupied taxiway,33.636665,-84.42778,ATL,delta,boeing,no_damage,737
ACC,2017-11-19,N740SW,serious,0,1,0,provision agent lack situational awareness step airplane provision van contribute accident provision van fail switch,33.944999,-118.408058,LAX,southwest,boeing,no_damage,737
INC,2017-11-08,N375HA,none,0,0,0,loss control left hand engine subsequent thermal damage left wing landing engine reverse operation blockage variable stator vane torque motor filter result engine electronic engine control improper schedule maximum fuel flow result flame engine exhaust tailpipe impinge event presence water contain dissolve aluminum sulfate alum airplane fuel system initiate sudden blockage engine vsv tm sp filter maintenance provider omit sump fuel tank day period inactivity airplane engine internally stall condition reverse post reverse thrust operation electronic engine control logic allow fuel meter unit supply maximum fuel flow despite throttle idle speed,47.609985,-122.33057,SEA,hawaiian,airbus,Minor,A330
ACC,2017-10-02,N930WN,none,0,0,0,mechanical failure tug fuel governor difficult ramp agent stop tug contribute accident lack guidance ground personnel handle vehicle malfunction,41.786388,-87.745277,MDW,southwest,boeing,Substantial,737
ACC,2017-09-30,"N841NN, N982VJ",none,0,0,0,failure captain maintain appropriate clearance stop taxiway,38.900001,-77.033332,DCA,american,boeing,Minor,737
ACC,2017-09-12,"N69813, C-GHOZ",none,0,0,0,flight crew misjudgment clearance wingtip horizontal stabilizer,33.0,-118.0,LAX,united,boeing,Minor,737
INC,2017-09-06,N686DA,none,0,0,0,left engine undercowl fire cause fuel nozzle installation error engine overhaul delta techop fuel nozzle b nut cross thread allow fuel leak hot engine case surface subsequently ignite,36.083889,-115.15361,LAS,delta,boeing,no_damage,757
ACC,2017-09-04,N938DN,serious,0,1,0,inadvertent encounter turbulence,31.807222,-106.376388,ELP,delta,mcdonnell_douglas,no_damage,MD-90
ACC,2017-08-15,"N377DA, N175AN",none,0,0,0,delta captain failure maintain proper clearance airplane stop american,40.647777,-73.765556,JFK,delta,boeing,Minor,737
ACC,2017-06-30,"N991AU, N862AS",none,0,0,0,flight crew incorrect evaluation clearance aircraft lead inadvertent collision horizontal stabilizer contribute accident traffic congestion result have stop prior fully clear perpendicular taxiway,41.977222,-87.89833,ORD,american,airbus,Minor,A321
ACC,2017-06-23,N315DN,none,0,0,0,officer improper landing flare result hard bounce landing flight crew improper bounce landing recovery procedure,33.649444,-84.415275,ATL,delta,airbus,Substantial,A321
INC,2017-06-03,N765SW,none,0,0,0,failure control alternator gearshaft disconnect accessory gearbox rest engine result uncommanded flight shutdown left engine subsequent flight diversion control alternator gearshaft fail high cycle fatigue intergranular corrosion cracking contribute failure control alternator gearshaft additional manufacturing processing step address non conformance reduce high cycle fatigue capability potential change vibratory environment shop visit,38.948612,-77.450279,IAD,southwest,boeing,Minor,737
ACC,2017-05-20,N633DL,none,0,0,0,officer failure attain proper landing flare result tail strike,35.877498,-78.798332,RDU,delta,boeing,Substantial,757
INC,2017-03-19,N881GA,none,0,0,0,probable cause right engine fire uncontained generator failure deform rotate generator component metal fragment radially release generator sever constant speed drive oil cool return line locate adjacent generator cause oil spray hot generator engine case surface subsequently ignite,39.9025,-84.221946,DAY,allegiant,mcdonnell_douglas,no_damage,DC-8
ACC,2017-03-06,N369NB,serious,0,1,0,malfunction parking brake electrical control valve result sudden stop,33.942501,-118.408058,LAX,delta,airbus,no_damage,A319
ACC,2017-02-11,N7822A,serious,0,1,0,catering agent lack situational awareness exit airplane result injury,33.434165,-112.011665,PHX,southwest,boeing,no_damage,737
ACC,2016-10-28,N345AN,serious,0,1,20,failure high pressure turbine hpt stage disk sever main engine fuel feed line breach right main wing fuel tank release fuel result fire right airplane takeoff roll hpt stage disk fail low cycle fatigue crack initiate internal subsurface manufacturing anomaly likely detectable production inspection subsequent service inspection procedure place contribute passenger injury delay shut left engine flight attendant deviation company procedure result passenger evacuate left overwing exit left engine operate contribute delay shut left engine lack separate checklist procedure boeing airplane specifically address engine fire ground lack communication flight cabin crew airplane come stop,41.968887,-87.917778,ORD,american,boeing,Substantial,767
INC,2016-10-26,N855NW,none,0,0,0,engine fire cause fuel manifold supply line high cycle fatigue crack lead fuel leak subsequently ignite hot engine case surface fatigue crack originate progress elevated fuel manifold assembly vibration level engine vibration testing identify combustor tone excite natural resonant frequency fuel manifold specific engine speed pratt whitney inch fan series engine feature talon ii combustor,47.447223,-122.314163,SEA,delta,airbus,no_damage,A330
INC,2016-10-21,N425NV,none,0,0,0,air traffic controller issue aircraft clearance land vehicle authorize runway contribute incident air traffic controller decision simulcast local control ground control frequency reduce visibility airport result weather,42.145278,-72.718887,BAF,allegiant,mcdonnell_douglas,no_damage,DC-8
ACC,2016-10-05,N8324A,serious,0,1,0,flight attendant lose balance remove carry baggage result fall arm rest cause injury,39.861667,-104.673057,DEN,southwest,boeing,no_damage,737
ACC,2016-08-27,N766SW,none,0,0,0,low cycle fatigue crack dovetail fan blade result fan blade separate flight impact fan case impact cause fan blade fracture fragment travel far expect inlet compromise structural integrity inlet lead flight separation inlet component portion inlet strike fuselage create hole cause cabin depressurize,30.473333,-87.186668,PNS,southwest,boeing,Substantial,737
ACC,2016-08-09,N3762Y,none,0,0,0,inadvertent collision ground service vehicle,40.639999,-73.779998,JFK,delta,boeing,Substantial,737
ACC,2016-08-04,N368SW,none,0,0,0,tug operator excessive speed pushback,39.0,-76.0,BWI,southwest,boeing,Substantial,737
INC,2016-07-07,N333NW,none,0,0,0,flight crew misidentification desire landing runway excess altitude require extended downwind failure use available navigation information,44.147499,-103.106666,RCA,delta,airbus,no_damage,A320
INC,2016-07-07,N706TW,none,0,0,0,maintenance personnel failure ensure proper installation fuel tube o ring result undercowl engine fire initial climb,40.641387,-73.77861,JFK,delta,boeing,Minor,757
ACC,2016-04-14,N565WN,serious,0,1,0,ramp agent failure right hand safe distance underside move belt,32.733612,-117.18972,SAN,southwest,boeing,no_damage,737
ACC,2016-03-05,N305UP,none,0,0,0,pilot flying failure maintain airspeed correct pitch attitude contribute accident pilot failure maintain appropriate thrust disconnect autothrottle contribute officer failure monitor decay airspeed increase pitch,35.02,-106.5,ABQ,united,boeing,Substantial,767
ACC,2016-02-17,"N925NN, N784SW",none,0,0,0,flight crew incorrect evaluation clearance aircraft lead inadvertent collision winglet horizontal stabilizer elevator,42.2075,-83.351943,DTW,american,boeing,Minor,737
INC,2016-01-29,N587NK,none,0,0,0,air traffic controller failure ensure runway surface area clear vehicle clear aircraft takeoff causal flight crew decision initiate takeoff runway status light rwsl takeoff hold light thls activate contribute incident lack standard procedure vehicle operator request runway clearance resultant hear read error vehicle operator air traffic controller,26.071666,-80.149719,FLL,spirit,airbus,no_damage,A321
ACC,2016-01-24,N908DE,none,0,0,0,ground crew misjudgment distance wingtip tail contribute accident slushy condition ramp limit maneuvering space available,40.687221,-74.177497,EWR,delta,mcdonnell_douglas,Substantial,MD-88
INC,2015-12-19,N477AS,none,0,0,0,flight crew misidentification taxiway landing runway,47.463611,-122.313331,SEA,alaska,boeing,no_damage,737
ACC,2015-12-15,N649SW,none,0,0,0,flight crew early turn assign gate taxiway lighting inadvertently turn controller charge result airplane leave paved surface contribute accident operation screen saver function lighting control panel prevent tower controller have immediate visual reference status airfield lighting,36.099998,-86.599998,BNA,southwest,boeing,Substantial,737
INC,2015-12-06,"N758AN, EC-LZX",none,0,0,0,reportunavailable,0.0,0.0,EMD,american,boeing,Minor,777
ACC,2015-11-29,N467WN,serious,0,1,0,inadvertent encounter clear air turbulence,38.629608,-90.240516,STL,southwest,boeing,no_damage,737
ACC,2015-10-21,N183AN,serious,0,1,0,disabled passenger properly secure transfer aisle chair cause slide floor receive injury,32.89722,-97.03778,DFW,american,boeing,no_damage,757
ACC,2015-08-23,N232WN,serious,0,1,0,inadvertent jet blast result debris strike ground operation personnel,37.721668,-122.221664,OAK,southwest,boeing,no_damage,737
ACC,2015-08-15,N564UW,none,0,0,0,encounter small microburst short final low altitude result loss lift tail strike contribute accident captain decision continue approach apply appropriate windshear precaution accordance publish guidance,35.213611,-80.949165,CLT,american,airbus,Substantial,A321
INC,2015-08-04,N779SW,minor,0,0,1,gate lead pushback driver failure recognize provision truck safety zone gate walkaround distraction result subsequent collision airplane truck contribute collision provision truck driver failure recognize park safety zone active gate adjacent assign gate guide agent improper assumption safety zone properly clear gate lead pushback driver,39.861667,-104.673057,DEN,southwest,boeing,Minor,737
ACC,2015-06-29,N335NW,serious,0,1,0,inadvertent fall passenger exit lavatory seat belt light illuminate,42.36063,-71.060516,BOS,delta,airbus,no_damage,A320
ACC,2015-06-08,N869GA,serious,0,1,7,evacuation aircraft report unverifie aircraft condition poor communication aircraft rescue firefighting personnel flight crew,27.909999,-82.6875,PIE,allegiant,mcdonnell_douglas,no_damage,DC-8
INC,2015-04-12,"N342UP, N900QS",none,0,0,0,controller issuance landing clearance arrive aircraft aircraft position runway contribute incident controller non compliance traffic advisory procedure insufficient requirement use memory aid track arrival departure operation,25.795278,-80.29,MIA,united,boeing,no_damage,767
ACC,2015-03-05,N909DL,none,0,0,0,captain inability maintain directional control airplane application excessive reverse thrust degrade effectiveness rudder control airplane heading contribute accident captain situational stress result concern stop performance attentional limitation high workload landing prevent immediately recognize use excessive reverse thrust,40.778331,-73.86972,LGA,delta,mcdonnell_douglas,Substantial,MD-88
INC,2015-02-17,"N698CB, N154GJ",none,0,0,0,flight crew failure manage cockpit task taxi result loss situation awareness subsequently taxi past require turn point active runway clearance contribute runway incursion ground controller ineffective monitoring ensure issue taxi instruction follow,41.971668,-87.901947,ORD,american,embraer,no_damage,ERJ-145
ACC,2015-02-10,N953UW,minor,0,0,1,undetermined malfunction nosewheel steering control module result nose landing gear jammed gear bay contribute accident improper rigging nosewheel steering feedback sensor installation,29.984443,-95.341392,IAH,us airways,embraer,Substantial,ERJ-190
ACC,2014-12-12,N7710A,none,0,0,0,inadvertent encounter bird approach land result substantial damage,39.175277,-76.668334,BWI,southwest,boeing,Substantial,737
ACC,2014-11-20,"N263WN, N8314L",none,0,0,0,captain failure maintain safe clearance parked result ground collision,32.841667,-96.849998,DAL,southwest,boeing,Minor,737
INC,2014-10-10,N26906,none,0,0,0,shutdown display inability operate rapid transient radiate electric field bring near field lightning strike contribute loss display remainder flight lack guidance crew perform control power reset display,51.4775,-0.461388,LHR,united,boeing,Minor,787
INC,2014-09-21,N669US,none,0,0,0,turbine overhaul service aggressive grit blast incomplete masking blade root neck allow grit blast area expose overhaul blade result blast medium embed blade root fatigue crack develop fatigue crack propagate separation blade occur result complete loss engine power fire cause b nut hydraulic line fuel pump pulsation damper loosening engine vibration compressor blade separate spray high pressure fluid engine compartment ignite hot engine case,34.636943,-84.428054,ATL,delta,boeing,no_damage,747
INC,2014-09-18,N656JB,none,0,0,0,probable cause engine failure subsequent undercowl engine fire fatigue fracture high pressure turbine stage disk blade retain lug release blade impact low pressure turbine case cause fuel line fracture spray fuel hot engine case ignite machining operation disk lug tool mark introduce set area fatigue crack initiate,33.818332,-118.144721,LGB,jetblue,airbus,Minor,A320
ACC,2014-09-15,N654A,none,0,0,0,failure officer control airplane pitch touchdown contribute accident officer inexperience aircraft type,25.765832,-80.218887,MIA,american,boeing,Substantial,757
ACC,2014-08-14,N758SW,none,0,0,0,disconnection baggage cart subsequently collide parked airplane follow tug drive dip roadway,40.786388,-111.973052,SLC,southwest,boeing,Substantial,737
ACC,2014-07-29,N553UA,none,0,0,0,officer failure maintain correct airspeed pitch attitude landing result tailstrike,32.733055,-117.188056,SAN,united,boeing,Substantial,757
INC,2014-07-11,N139DL,none,0,0,0,combination fuel leak integrate drive generator idg fuel oil heat exchanger coincident arcing idg power feeder cable ignite leak fuel contribute ignition fuel misrouting idg power feeder cable result chaff cable expose electrical wire contact metal bracket create arc,33.941665,-118.408332,LAX,delta,boeing,Minor,767
ACC,2014-03-13,N113UW,none,0,0,0,captain decision reject takeoff airplane rotate contribute accident flight crew failure follow standard operating procedure verify airplane flight management computer properly configure takeoff captain failure perform correct action response electronic centralized aircraft monitor alert,39.860553,-75.273887,PHL,us airways,airbus,Substantial,A320
ACC,2014-03-05,N809DN,serious,0,1,0,flight attendant inadvertent trip fall passenger bag aisle,32.735,-117.18972,SAN,delta,boeing,no_damage,737
ACC,2014-01-31,N921DL,none,0,0,0,inattention ground crew personnel result airplane substantially damage,33.636943,-84.428054,ATL,delta,mcdonnell_douglas,Substantial,MD-88
INC,2014-01-12,N272WN,none,0,0,0,flight crew failure properly identify airport runway intended incident flight crew failure comply procedure use navigation information visual cue verify airport runway intend landing air traffic controller issuance erroneous airport geographic information include location proximate airport,36.625831,-93.228889,PLK,southwest,boeing,no_damage,737
ACC,2014-01-03,N8327A,none,0,0,0,captain rotation bounce landing,36.080001,-115.152221,LAS,southwest,boeing,Substantial,737
INC,2013-12-23,N360SW,none,0,0,0,initial damage fan blade cause ingestion mallard duck cause fan blade fracture strike fan shroud pass fan blade produce sized blade fragment create cascade effect collateral impact damage fan blade fan case inlet cowl large blade fragment deflect fan containment plane pierce exit inlet cowl benign engine airplane meet applicable bird containment design standard engine catch fire engine case exhibit penetration engine able shutdown normally airplane damage impact safe operation airplane create hazard person board,38.750278,-90.375556,STL,southwest,boeing,Minor,737
INC,2013-10-15,N516NK,none,0,0,0,high pressure turbine stage blade separation stress corrosion cracking j channel cool cavity fail blade enter gas path cause substantial damage low pressure turbine engine subsequently leave high power setting approximately minute expose turbine hardware temperature exceed material anneal temperature result failure separation multiple engine component,33.20111,-96.20111,DFW,spirit,airbus,Minor,A319
