,event_type,event_date,tail_number,highest_injury_level,fatal_injury_count,serious_injury_count,minor_injury_count,probable_cause,latitude,longitude,airport_id,operator,make,aircraft_damage,model
76,ACC,2022-08-06,N540US,none,0,0,0,NA,33.6407,-84.4277,ATL,delta,boeing,Substantial,757
79,ACC,2022-07-01,N480WN,serious,0,1,0,a flight attendant received a serious injury for undetermined reasons during a firm landing.,33.675701,-117.86799,SNA,southwest,boeing,None,737
80,INC,2022-06-21,N37513,none,0,0,0,"the flightcrew’s misidentification of the intended landing runway, which resulted in approach to and landing on the wrong runway. contributing to the incident was the distraction caused by the dual reset of the flight management computer displays.",40.491501,-80.232902,PIT,united,boeing,None,737
81,INC,2022-06-08,N949FD,none,0,0,0,"the flight crew’s misidentification of the intended landing runway. contributing to the incident were (1) the flight crew’s failure to perceive and correctly interpret visual and auditory indicators – including electronic guidance – that they were approaching the incorrect runway which was likely the result of a degradation in cognitive function brought on by working within their window of circadian low, increased workload, and fatigue, and  (2) the air traffic controller’s failure to monitor the arriving flight after issuing a landing clearance.",36.1988,-95.8839,TUL,federal express,boeing,None,757
86,INC,2022-04-27,VH-YFZ,none,0,0,0,NA,-28.164444,153.504722,YBCG,us airways,boeing,Minor,737
87,INC,2022-04-08,N670UA,none,0,0,0,NA,52.701944,-8.924722,EINN,united,boeing,Minor,767
89,INC,2022-03-20,N777AN,none,0,0,0,NA,0.0,0.0,BCN,american,boeing,Minor,777
94,ACC,2022-01-22,N760JB,none,0,0,0,"the captain’s rotation of the airplane pitch before the rotation speed on takeoff due to his surprise about encountering head on landing traffic, which resulted in an exceedance of the airplane’s pitch limit and a subsequent tail strike. contributing to the accident was the flight crew’s expectation bias that the incoming aircraft was landing on the same runway as they were departing from, and the conflicting traffic’s nonstandard use of phraseology when making position calls on the common traffic advisory frequency.",40.2887,-107.1306,HDN,jetblue,airbus,Substantial,A320
96,ACC,2021-12-13,N307FR,none,0,0,0,"the captain’s failure to maintain proper pitch attitude during landing, likely caused by improper seat position.",36.079812,-115.15344,LAS,frontier,airbus,Substantial,A320
98,INC,2021-11-24,N1604R,none,0,0,0,NA,4.70159,-74.1469,BOG,delta,boeing,Minor,767
104,ACC,2021-09-27,N12125,none,0,0,0,the nose high attitude on landing resulted in a tailstrike.,40.692501,-74.168701,EWR,united,boeing,Substantial,757
107,ACC,2021-09-01,N196DN,serious,0,1,1,"the flightcrew’s failure to set the hydraulic panel correctly during the execution of the pushback checklist, and when the hydraulic panel setting was corrected, that resulted in the airplane coming to a sudden stop and a flight attendant receiving a serious injury.",47.438408,-122.2997,SEA,delta,boeing,None,767
108,ACC,2021-08-23,N479AS,serious,0,1,3,the passenger’s use of the evacuation slide resulted in the serious injury.,47.443719,-122.31173,SEA,alaska,boeing,None,737
110,ACC,2021-08-11,N296UP,none,0,0,0,the flight crew’s incorrect pitch attitude during go-around.,33.272847,-112.07324,PHX,united,mcdonnell_douglas,Substantial,MD-11
112,ACC,2021-07-22,N376DN,serious,0,1,0,"while conducting the safety briefing, the forward flight attendant was thrown backwards into the flight deck door due to the sudden stopping of the airplane by the flight crew to prevent a collision with a bus. contributing to this accident was the bus drivers difficultly in observing the airplane moving towards the roadway.",42.212398,-83.353401,DTW,delta,airbus,None,A321
113,INC,2021-07-20,N624UP,none,0,0,0,NA,22.310567,114.168694,VHHH,united,boeing,Minor,747
117,ACC,2021-06-25,N926UW,serious,0,1,8,an inadvertent encounter with severe turbulence during cruise flight that caused a flight attendant to fall and fracture his ankle.,27.598704,-89.948252,MSY,american,airbus,None,A321
118,INC,2021-06-10,"N8674B, N197SY",none,0,0,0,the blocked go-around radio instruction from the air traffic control tower to the arrival aircraft which resulted in the arrival aircraft continuing the landing approach. this led to a loss of separation between the landing aircraft and the aircraft awaiting departure on the runway. contributing to the loss of separation was the controller’s distraction communicating with a helicopter transitioning the airspace.,32.730364,-117.1764,SAN,southwest,boeing,None,737
119,ACC,2021-05-28,N834NN,none,0,0,0,the captain’s decision to adjust his flight instruments while taxiing the airplane.,32.897011,-97.043173,DFW,american,boeing,Substantial,737
121,ACC,2021-05-21,"N289CT, N8686A",none,0,0,0,"the failure of the flight crew of n8686a to provide sufficient clearance while taxiing past n289ct, which was stopped.",41.785,-87.752,MDW,southwest,boeing,Substantial,737
129,ACC,2021-03-15,N789AN,serious,0,1,0,an encounter with clear air turbulence during approach,32.8998,-96.9403,DFW,american,boeing,None,777
132,INC,2020-12-31,N557AV,none,0,0,0,NA,4.70159,-74.1469,BOG,american,airbus,Minor,A319
133,INC,2020-12-30,N73275,none,0,0,0,NA,9.99386,-84.208801,SJO,united,boeing,Minor,737
134,INC,2020-12-28,N810NW,none,0,0,0,NA,0.0,0.0,KEF,delta,airbus,None,A330
138,ACC,2020-10-24,N674RJ,minor,0,0,9,NA,26.5481,-78.6963,YGF,american,embraer,Substantial,ERJ-145
142,ACC,2020-08-19,N146FE,serious,0,1,0,the left main landing gear’s failure to extend due to the separation of the brake rod retaining hardware from the aft inboard wheel for reasons that could not be determined based on the available evidence.,33.969615,-118.24037,LAX,federal express,boeing,Substantial,767
148,ACC,2020-03-21,N193AN,none,0,0,0,the excessive pitch attitude at touchdown.,36.080001,-115.152221,LAS,american,boeing,Substantial,757
157,ACC,2020-01-11,N1902U,serious,0,1,0,an encounter with convectively induced turbulence while overflying an area of known convective activity.,29.960527,-90.079589,MSY,united,airbus,None,A320
158,ACC,2020-01-08,N929NN,none,0,0,0,failure of the deicing truck driver to maintain appropriate clearance from the airplane.,40.776943,-73.873886,LGA,american,boeing,Substantial,737
160,ACC,2019-12-22,N87513,none,0,0,0,"maintenance personnel’s excessive grinding of the left main landing gear’s aft trunnion pin during its initial overhaul, which caused heat damage to the base metal and led to the fatigue crack that caused the pin to fail during the accident flight. contributing to the accident was the failure of maintenance personnel to detect the excessive grinding during the initial overhaul and the fatigue crack during the subsequent overhaul.",39.749443,-105.000801,DEN,united,boeing,Substantial,737
161,ACC,2019-12-21,N7739A,none,0,0,0,a bird strike during descent,39.101387,-94.4775,MCI,southwest,boeing,Substantial,737
162,ACC,2019-12-19,N68802,serious,0,1,0,"an abrupt stop during taxi to avoid a collision with another airplane, causing a flight attendant to fall.",41.974445,-87.890556,ORD,united,boeing,None,737
174,ACC,2019-08-27,N328FR,serious,0,1,0,an encounter with mountain wave turbulence.,39.861667,-104.673057,DEN,frontier,airbus,None,A320
175,ACC,2019-08-26,N911DL,serious,0,1,0,an encounter with convective turbulence during descent.,41.974445,-87.906669,ORD,delta,mcdonnell_douglas,None,MD88
179,ACC,2019-08-08,N717FR,none,0,0,0,encountering gusty conditions at a low altitude during landing and the crew’s decision to do a go-around at a low altitude with an excessive rotation rate.,28.419879,-81.299156,MCO,frontier,airbus,Substantial,A321
180,ACC,2019-08-06,"N37437, N432UA",none,0,0,0,the ramp controller directing a boeing 737 to hold in a location that was marked for a regional jet.,37.615276,-122.389999,SFO,united,boeing,Minor,737
182,ACC,2019-07-23,N57852,none,0,0,0,failure of the ground crew to maintain clearance from the parked airplane during pushback.,37.773887,-122.43138,SFO,united,boeing,Substantial,757
185,ACC,2019-06-17,N8608N,none,0,0,0,a provisioning truck that impacted the airplane resulting in substantial damage.,40.49139,-80.23278,PIT,southwest,boeing,Substantial,737
186,ACC,2019-06-15,N26123,none,0,0,0,"an improper landing flare, which resulted in a bounced landing and substantial damage.",40.692501,-74.168609,EWR,united,boeing,Substantial,757
187,ACC,2019-06-09,N75436,none,0,0,0,the early initiation of the landing flare that resulted in a high pitch attitude and tailstrike.,39.856109,-104.673614,DEN,united,boeing,Substantial,737
192,ACC,2019-04-12,N31412,serious,0,1,0,"missing attach screws on the aft galley oven, which allowed it to become dislodged landing, injuring a flight attendant.",26.531665,-81.761665,RSW,united,boeing,None,737
193,ACC,2019-04-10,N114NN,none,0,0,0,"the captain’s excessive left rudder pedal input during the takeoff ground roll, which caused a large heading deviation and a left roll upon rotation that resulted in the left wingtip striking the ground.",40.641387,-73.778053,JFK,american,airbus,Substantial,A321
194,ACC,2019-04-04,N977DL,minor,0,0,1,failure of the tug driver to give way to the taxiing airplane.,33.64389,-84.436943,ATL,delta,mcdonnell_douglas,Substantial,MD88
195,ACC,2019-03-27,N249WN,none,0,0,0,a collision with a bird.,36.124443,-86.678054,BNA,southwest,boeing,Substantial,737
196,ACC,2019-03-10,"N3756, N591NW",none,0,0,0,failure of the b737 captain to maintain separation with the airplane stopped on the taxiway.,33.640288,-84.427529,ATL,delta,boeing,Minor,737
207,ACC,2019-01-28,N220FR,none,0,0,0,"loss of control of the tug by the driver during pushback operations as a result of the contaminated ramp, angle of the towbar, and the airplane engines being at idle thrust.",39.856109,-104.67361,DIA,frontier,airbus,Substantial,A320
208,ACC,2018-12-31,N938UW,none,0,0,0,an inadvertent loss of airspeed and increased pitch attitude prior to touchdown.,35.213611,-80.94889,CLT,american,boeing,Substantial,757
210,INC,2018-12-06,N752SW,none,0,0,0,"(1) the flight crewmembers’ decision, due to plan continuation bias, to continue the approach despite indications of windshear and a higher-than-expected tailwind and (2) the flight crew’s misperception of the airplane’s touchdown point, which was farther down the runway than the crew assumed because of the faster-than-expected groundspeed. contributing to the accident was southwest airlines’ lack of guidance to prompt flight crews to reassess operator-provided landing data when arrival weather conditions differ from those used in the original landing data calculation.",34.200553,-118.35861,BUR,southwest,boeing,Minor,737
212,ACC,2018-12-03,N868NN,serious,0,1,0,an object which fell from an overhead bin struck a flight attendant resulting in a serious injury.,41.0,-87.906387,ORF,american,boeing,None,737
222,ACC,2018-09-26,N994AN,serious,0,1,0,a passenger leaving a bag in the aisle that the flight attendant tripped over.,32.543888,-97.021942,DFW,american,airbus,None,A321
223,ACC,2018-09-23,N13113,serious,0,1,0,the catering cart striking the flight attendant's foot.,40.692501,-74.168609,EWR,united,boeing,None,757
224,ACC,2018-09-10,N950NN,serious,0,1,0,an inadvertent encounter with wake turbulence.,33.440555,-111.835556,PHX,american,boeing,None,737
230,ACC,2018-07-31,N192AN,none,0,0,0,the captain's improper control of the airplane during the landing flare.,39.874443,-75.2425,PHL,american,boeing,Substantial,757
239,ACC,2018-06-12,N8693A,serious,0,1,0,a passenger bumping into a flight attendant who was holding a hot liquid.,33.260276,-112.004165,PHX,southwest,boeing,None,737
244,ACC,2018-05-07,N8655D,none,0,0,0,the maintenance truck driver's failure to give way to the airplane that resulted in the truck colliding with the taxiing aircraft.,39.179164,-76.667221,BWI,southwest,boeing,Substantial,737
248,ACC,2018-04-18,N806NW,none,0,0,0,"the flight crew’s delayed landing after an in-flight engine fire, which reignited after both fire bottles were discharged and resulted in substantial damage to an engine pylon. contributing to the delayed landing was likely the flight crew’s perception that the fire had been extinguished due to the disappearance of the primary engine fire warning indications after the fire detection loops were damaged and that a landing as soon as possible was not perceived to be necessary. contributing to the duration of the fire was the contamination of an engine fire isolation system component which resulted in hydraulic fluid leaking into the designated engine fire zone after the engine was shutdown and the fire button was pressed.",33.646667,-84.440834,ATL,delta,airbus,Substantial,A330
249,ACC,2018-04-17,N772SW,fatal,1,8,125,"a low-cycle fatigue crack in the dovetail of fan blade no. 13, which resulted in the fan blade separating in flight and impacting the engine fan case at a location that was critical to the structural integrity and performance of the fan cowl structure. this impact led to the in-flight separation of fan cowl components, including the inboard fan cowl aft latch keeper, which struck the fuselage near a cabin window and caused the window to depart from the airplane, the cabin to rapidly depressurize, and the passenger fatality.",39.871944,-75.239997,PHL,southwest,boeing,Substantial,737
252,ACC,2018-02-24,N817NW,serious,0,1,2,an inadvertent encounter with clear air turbulence.,44.884723,-93.215553,MSP,delta,airbus,None,A330
254,INC,2018-02-13,N773UA,none,0,0,0,"the fracture of a fan blade due to p&w's continued classification of the tai inspection process as a new and emerging technology that permitted them to continue accomplishing the inspection without having to develop a formal, defined initial and recurrent training program or an inspector certification program.  the lack of training resulted in the inspector making an incorrect evaluation of an indication that resulted in a blade with a crack being returned to service where it eventually fractured.  contributing to the fracture of the fan blade was the lack of feedback from the process engineers on the fan blades the inspectors sent to the process engineers for evaluation of indications that they had found.",21.317777,-157.920272,HNL,united,boeing,Minor,777
256,INC,2017-12-29,N412QX,none,0,0,0,the flight crew's misidentification of the taxiway as the landing runway due to the failure of the runway lighting that caused only the taxiway lights to be illuminated.,46.742778,-117.116943,PUW,us airways,bombardier,None,DASH-8
260,ACC,2017-12-12,N924DL,none,0,0,0,failure of the flight crew to confirm the left engine throttle lever was at idle during engine start.,42.212501,-83.353332,DTW,delta,mcdonnell_douglas,Substantial,MD-88
262,ACC,2017-12-03,"N9011P, N344PP",none,0,0,0,"the failure of the flight crew of n9011p to maintain an appropriate clearance from n344pp, which was stopped on the taxiway.",25.793333,-80.290557,MIA,american,airbus,Minor,A319
263,INC,2017-11-29,N852DN,none,0,0,0,"the flight crewmembers’ failure to properly monitor the airplane’s flightpath, which caused the approach to become unstabilized and resulted in the airplane’s descent below the decision altitude while misaligned with the localizer course. contributing to the incident were the first officer’s delay in setting go-around thrust after the captain called for the go-around and the captain’s failure to take control of the airplane after go-around thrust was not immediately set, both of which caused the airplane to come within about 50 ft vertically of an occupied taxiway.",33.636665,-84.42778,ATL,delta,boeing,None,737
265,ACC,2017-11-19,N740SW,serious,0,1,0,the provisioning agent's lack of situational awareness while stepping from the airplane to the provisioning van.  contributing to the accident was the provisioning vans failed switch.,33.944999,-118.408058,LAX,southwest,boeing,None,737
267,ACC,2017-10-02,N930WN,none,0,0,0,"the mechanical failure of the tugs fuel governor, which made it difficult for the ramp agent to stop the tug.  contributing to the accident was the lack of guidance on how ground personnel were to handle vehicle malfunctions.",41.786388,-87.745277,MDW,southwest,boeing,Substantial,737
268,ACC,2017-09-30,"N841NN, N982VJ",none,0,0,0,"the failure n841nns captain to maintain appropriate clearance from n982vj, which was stopped on the taxiway.",38.900001,-77.033332,DCA,american,boeing,Minor,737
272,ACC,2017-09-12,"N69813, C-GHOZ",none,0,0,0,the b737 flight crew's misjudgment of the clearance between their wingtip and the b767 horizontal stabilizer.,33.0,-118.0,LAX,united,boeing,Minor,737
273,INC,2017-09-06,N686DA,none,0,0,0,"a no. 1 (left) engine undercowl fire caused by a fuel nozzle installation error during engine overhaul at delta techops. a fuel nozzle b-nut was cross threaded, which allowed fuel to leak on hot engine case surfaces and subsequently ignite.",36.083889,-115.15361,LAS,delta,boeing,None,757
274,ACC,2017-09-04,N938DN,serious,0,1,0,an inadvertent encounter with turbulence.,31.807222,-106.376388,ELP,delta,mcdonnell_douglas,None,MD-90
277,ACC,2017-08-15,"N377DA, N175AN",none,0,0,0,the delta b737 captain's failure to maintain proper clearance between his airplane and the stopped american b757.,40.647777,-73.765556,JFK,delta,boeing,Minor,737
285,ACC,2017-06-30,"N991AU, N862AS",none,0,0,0,"the a321 flight crew's incorrect evaluation of the clearance between the aircraft, leading to the inadvertent collision with the horizontal stabilizer of the crj200.  contributing to the accident was traffic congestion that resulted in the crj200 having to stop prior to fully clearing the perpendicular taxiway.",41.977222,-87.89833,ORD,american,airbus,Minor,A321
286,ACC,2017-06-23,N315DN,none,0,0,0,"the first officer's improper landing flare, which resulted in a hard, bounced landing, and the flight crew’s improper bounced landing recovery procedures.",33.649444,-84.415275,ATL,delta,airbus,Substantial,A321
289,INC,2017-06-03,N765SW,none,0,0,0,"the failure the control alternator gearshaft, which disconnected the accessory gearbox from the rest of the engine and resulted in an uncommanded in-flight shutdown of the left engine and subsequent flight diversion.  the control alternator gearshaft failed because of high cycle fatigue intergranular corrosion cracking.  contributing to the failure of the control alternator gearshaft were additional manufacturing processing steps to address part non-conformances that reduced its high cycle fatigue capability and potential change in vibratory environment since the last shop visit.",38.948612,-77.450279,IAD,southwest,boeing,Minor,737
291,ACC,2017-05-20,N633DL,none,0,0,0,"the first officer's failure to attain a proper landing flare, which resulted in a tail strike.",35.877498,-78.798332,RDU,delta,boeing,Substantial,757
297,ACC,2017-03-06,N369NB,serious,0,1,0,malfunction of the parking brake electrical control valve that resulted in a sudden stop.,33.942501,-118.408058,LAX,delta,airbus,None,A319
303,ACC,2017-02-11,N7822A,serious,0,1,0,the catering agent's lack of situational awareness when exiting the airplane that resulted in a serious injury.,33.434165,-112.011665,PHX,southwest,boeing,None,737
311,ACC,2016-10-28,N370FE,none,0,0,0,"the failure of the left main landing gear (mlg) due to fatigue cracking that initiated at a corrosion pit. the pit formed in the absence of a required protective cadmium coating the cause of which could not be determined from available evidence. contributing to the failure of the left mlg was the operator's overhaul limit, which exceeded that recommended by the airplane manufacturer without sufficient data and analysis to ensure crack detection before it progressed to failure.",26.077499,-80.144447,FLL,federal express,mcdonnell_douglas,Substantial,MD-10
312,ACC,2016-10-28,N345AN,serious,0,1,20,"the failure of the high-pressure turbine (hpt) stage 2 disk, which severed the main engine fuel feed line and breached the right main wing fuel tank, releasing fuel that resulted in a fire on the right side of the airplane during the takeoff roll. the hpt stage 2 disk failed because of low-cycle fatigue cracks that initiated from an internal subsurface manufacturing anomaly that was most likely not detectable during production inspections and subsequent in service inspections using the procedures in place. contributing to the serious passenger injury was (1) the delay in shutting down the left engine and (2) a flight attendant's deviation from company procedures, which resulted in passengers evacuating from the left overwing exit while the left engine was still operating. contributing to the delay in shutting down the left engine was (1) the lack of a separate checklist procedure for boeing 767 airplanes that specifically addressed engine fires on the ground and (2) the lack of communication between the flight and cabin crews after the airplane came to a stop.",41.968887,-87.917778,ORD,american,boeing,Substantial,767
314,INC,2016-10-26,N855NW,none,0,0,0,a no. 1 engine fire caused by a fuel manifold supply line high cycle fatigue crack which led to a fuel leak that subsequently ignited on hot engine case surfaces. the fatigue crack originated and progressed due to elevated fuel manifold assembly vibration levels. engine vibration testing identified a combustor tone that excites a natural (resonant) frequency of the fuel manifolds at specific engine speeds on pratt & whitney pw4000-94 and -100 inch fan series engines that feature a talon ii combustor.,47.447223,-122.314163,SEA,delta,airbus,None,A330
316,ACC,2016-10-05,N8324A,serious,0,1,0,the flight attendant losing her balance as she was removing her carry-on baggage resulted in her falling against an arm rest causing the serious injury.,39.861667,-104.673057,DEN,southwest,boeing,None,737
319,ACC,2016-08-27,N766SW,none,0,0,0,"a low-cycle fatigue crack in the dovetail of fan blade no. 23, which resulted in the fan blade separating in flight and impacting the fan case. this impact caused the fan blade to fracture into fragments that traveled farther than expected into the inlet, which compromised the structural integrity of the inlet and led to the in-flight separation of inlet components. a portion of the inlet struck the fuselage and created a hole, causing the cabin to depressurize.",30.473333,-87.186668,PNS,southwest,boeing,Substantial,737
322,ACC,2016-08-09,N3762Y,none,0,0,0,inadvertent collision by ground service vehicle.,40.639999,-73.779998,JFK,delta,boeing,Substantial,737
323,ACC,2016-08-04,N368SW,none,0,0,0,the tug operators excessive speed during pushback.,39.0,-76.0,BWI,southwest,boeing,Substantial,737
327,INC,2016-07-07,N333NW,none,0,0,0,"the flight crew's misidentification of the desired landing runway due to excess altitude requiring an extended downwind, and failure to use all available navigation information.",44.147499,-103.106666,RCA,delta,airbus,None,A320
328,INC,2016-07-07,N706TW,none,0,0,0,"maintenance personnel's failure to ensure proper installation of a fuel tube o-ring, which resulted in an undercowl engine fire during initial climb.",40.641387,-73.77861,JFK,delta,boeing,Minor,757
337,ACC,2016-04-14,N565WN,serious,0,1,0,the ramp agents failure to keep his right hand at a safe distance from the underside of the moving belt.,32.733612,-117.18972,SAN,southwest,boeing,None,737
340,ACC,2016-03-05,N305UP,none,0,0,0,the pilot flying's failure to maintain airspeed and correct pitch attitude.  contributing to the accident was the pilot's failure to maintain appropriate thrust after disconnecting the autothrottles.  also contributing was the first officer's failure to monitor the decaying airspeed and increasing pitch.,35.02,-106.5,ABQ,united,boeing,Substantial,767
342,ACC,2016-02-17,"N925NN, N784SW",none,0,0,0,"n925nn flight crew's incorrect evaluation of the clearance between the two aircraft, leading to the inadvertent collision of the winglet with the horizontal stabilizer and elevator of n784sw.",42.2075,-83.351943,DTW,american,boeing,Minor,737
348,ACC,2016-01-24,N908DE,none,0,0,0,the ground crew's misjudgment of the distance between the b767 wingtip and the md-88 tail.  contributing to the accident was the slushy condition of the ramp which limited the maneuvering space available.,40.687221,-74.177497,EWR,delta,mcdonnell_douglas,Substantial,MD-88
352,INC,2015-12-19,N477AS,none,0,0,0,the flight crew's misidentification of the taxiway as the landing runway.,47.463611,-122.313331,SEA,alaska,boeing,None,737
353,ACC,2015-12-15,N649SW,none,0,0,0,the flight crew's early turn towards the assigned gate because taxiway lighting had been inadvertently turned off by the controller-in-charge which resulted in the airplane leaving the paved surface. contributing to the accident was the operation of the screen-saver function on the lighting control panel that prevented the tower controllers from having an immediate visual reference to the status of the airfield lighting.,36.099998,-86.599998,BNA,southwest,boeing,Substantial,737
356,INC,2015-12-06,"N758AN, EC-LZX",none,0,0,0,NA,0.0,0.0,EMD,american,boeing,Minor,777
357,ACC,2015-11-29,N467WN,serious,0,1,0,an inadvertent encounter with clear air turbulence.,38.629608,-90.240516,STL,southwest,boeing,None,737
362,ACC,2015-10-21,N183AN,serious,0,1,0,the disabled passenger not being properly secured during the transfer from the aisle chair causing him to slide to floor and receive a serious injury.,32.89722,-97.03778,DFW,american,boeing,None,757
366,ACC,2015-08-23,N232WN,serious,0,1,0,"inadvertent jet blast, resulting in debris striking ground operations personnel.",37.721668,-122.221664,OAK,southwest,boeing,None,737
367,ACC,2015-08-15,N564UW,none,0,0,0,an encounter with a small microburst on short final at low altitude that resulted in a loss of lift and a tail strike during the go-around. contributing to the accident was the captain's decision to continue the approach without applying appropriate windshear precautions in accordance with published guidance.,35.213611,-80.949165,CLT,american,airbus,Substantial,A321
370,INC,2015-08-04,N779SW,minor,0,0,1,"the gate lead/pushback driver's failure to recognize that the provisioning truck was within the safety zone of the gate during his walkaround due to distractions, which resulted in the subsequent collision between the airplane and the truck. contributing to the collision was the provisioning truck driver's failure to recognize he was parked in the safety zone of an active gate adjacent to his assigned gate, and the guide agent's improper assumption that the safety zone was properly cleared by the gate lead/pushback driver.",39.861667,-104.673057,DEN,southwest,boeing,Minor,737
373,ACC,2015-06-29,N335NW,serious,0,1,0,an inadvertent fall by the passenger while exiting the lavatory when the seat belt light was illuminated.,42.36063,-71.060516,BOS,delta,airbus,None,A320
380,INC,2015-04-12,"N342UP, N900QS",none,0,0,0,"the controller's issuance of a landing clearance to an arriving aircraft while another aircraft was in position on the same runway. contributing to the incident was the controller's non-compliance with traffic advisory procedures, and insufficient requirements for use of memory aids to track arrival and departure operations.",25.795278,-80.29,MIA,united,boeing,None,767
383,ACC,2015-03-05,N909DL,none,0,0,0,"the captain's inability to maintain directional control of the airplane due to his application of excessive reverse thrust, which degraded the effectiveness of the rudder in controlling the airplane's heading. contributing to the accident were the captain's (1) situational stress resulting from his concerns about stopping performance and (2) attentional limitations due to the high workload during the landing, which prevented him from immediately recognizing the use of excessive reverse thrust.",40.778331,-73.86972,LGA,delta,mcdonnell_douglas,Substantial,MD-88
384,ACC,2015-02-24,N584FE,serious,0,1,0,a partial inflation of the 1l escape slide/raft due to undetermined reasons resulting in insufficient capability to support the weight of the crewmember.,38.0,-90.0,STL,federal express,mcdonnell_douglas,None,MD-11
385,INC,2015-02-17,"N698CB, N154GJ",none,0,0,0,the flight crew's  failure to manage cockpit tasks during  taxi resulting in a loss of situation awareness and  subsequently taxiing past a required turn point and onto an active runway without clearance. contributing to the runway incursion was the ground controllers ineffective monitoring to ensure  issued taxi instructions were followed.,41.971668,-87.901947,ORD,american,embraer,None,ERJ-145
387,ACC,2015-02-10,N953UW,minor,0,0,1,"an undetermined malfunction of the nosewheel steering control module, which resulted in the nose landing gear being jammed in the gear bay. contributing to the accident was the improper rigging of the nosewheel steering feedback sensors during installation.",29.984443,-95.341392,IAH,us airways,embraer,Substantial,ERJ-190
388,ACC,2014-12-12,N7710A,none,0,0,0,an inadvertent encounter with birds during approach to land that resulted in substantial damage.,39.175277,-76.668334,BWI,southwest,boeing,Substantial,737
391,ACC,2014-11-20,"N263WN, N8314L",none,0,0,0,n263wn captain's failure to maintain a safe clearance from the parked n8314l resulting in a ground collision.,32.841667,-96.849998,DAL,southwest,boeing,Minor,737
394,INC,2014-10-10,N26906,none,0,0,0,a shutdown of the displays due to the inability to operate through a rapid transient radiated electric field brought on by a near field lightning strike.  contributing to the loss of displays for the remainder of the flight was the lack of guidance to the crew to perform a controlled power reset to the display.,51.4775,-0.461388,EGLL,united,boeing,Minor,787
397,INC,2014-09-21,N669US,none,0,0,0,turbine overhaul service's aggressive grit blasting and incomplete masking of the blade root neck that allowed the no grit blast area being exposed during the overhaul of the blade resulting in blasting media being embedded in the blade root from which a fatigue crack developed.  the fatigue crack propagated until separation of the blade occurred that resulted in a complete loss of engine power.  the fire was caused by the b-nut on the hydraulic line from the fuel pump and pulsation damper loosening from engine vibration after the compressor blade separated spraying high pressure fluid into the engine compartment that ignited on the hot engine cases.,34.636943,-84.428054,ATL,delta,boeing,None,747
398,INC,2014-09-18,N656JB,none,0,0,0,"the probable cause of the engine failure and subsequent undercowl engine fire was due to the fatigue fracture of a high pressure turbine stage 2 disk blade retaining lug that released two blades which impacted the low pressure turbine case causing a fuel line to fracture spraying fuel on the hot engine cases where it ignited.  during a machining operation of the disk lug, a tool mark was introduced that set up the area for fatigue cracks to initiate.",33.818332,-118.144721,LGB,jetblue,airbus,Minor,A320
