NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N,HasSafetyRec,ReportType,OriginalPublishDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,ReportStatus,RepGenFlag,DocketUrl,DocketPublishDate
DCA23LA421,ACC,192927,2023-08-18T20:11:00Z,Over the,Atlantic Ocean,United States,,N209UA,FALSE,DirectorBrief,2024-03-12T04:00:00Z,Serious,0,1,8,An inadvertent encounter with clear air turbulence during cruise flight.,,40,-60,BOEING,777-222,AIR,,,FALSE,2,SCHD,,121,None,VMC,UNITED AIRLINES INC,Completed,FALSE,,
DCA23LA411,ACC,192864,2023-08-14T07:45:00Z,Chicago,Illinois,United States,,N776MS,FALSE,DirectorBrief,,Serious,0,1,0,,,41.97694,-87.90815,EMBRAER,ERJ 170-100 SE,AIR,,,FALSE,2,SCHD,,121,None,VMC,Envoy Air,In work,FALSE,,
OPS23FA010,OCC,192847,2023-08-11T20:06:00Z,San Diego,California,United States,,"N7734H, N564HV",FALSE,DirectorBrief,,,0,0,0,,,32.730189,-117.17562,"BOEING, TEXTRON AVIATION INC","737-7BD, 560XL","AIR,AIR",SAN,SAN DIEGO INTL,"FALSE,FALSE","2,2",SCHD,",EXEC","121,091","None,None",VMC,"SOUTHWEST AIRLINES CO,HY-VEE INC",In work,FALSE,,
DCA23WA398,INC,192816,2023-08-07T04:00:00Z,Ningbo,,China,,N401KZ,FALSE,None,,None,0,0,0,,,0,0,BOEING,747-481F,AIR,ZSNB,Ningbo Lishe International Airport,FALSE,4,NSCH,,121,None,,KALITTA AIR LLC,N/A,FALSE,,
ENG23LA033,OCC,192883,2023-08-03T09:35:00Z,Jacksonville,Florida,United States,,N649JB,FALSE,DirectorBrief,,None,0,0,0,,,30.486167,-81.750781,AIRBUS,A320,AIR,JAX,Jacksonville International Airport,FALSE,2,SCHD,,121,None,,JetBlue,In work,FALSE,,
DCA23LA409,ACC,192860,2023-08-03T03:06:00Z,Chantilly,Virginia,United States,,N676UA,FALSE,DirectorBrief,,,0,0,0,,,38.947456,-77.459929,BOEING,767-322,AIR,IAD,WASHINGTON DULLES INTL,FALSE,2,SCHD,,121,Substantial,,UNITED AIRLINES INC,In work,FALSE,,
DCA23LA384,ACC,192744,2023-07-29T11:34:00Z,Houston,Texas,United States,,N641UA,FALSE,DirectorBrief,,None,0,0,0,,,29.989605,-95.344154,BOEING,767-322,AIR,IAH,GEORGE BUSH INTCNTL/HOUSTON,FALSE,2,SCHD,,121,Substantial,,UNITED AIRLINES INC,In work,FALSE,,
DCA23LA382,ACC,192742,2023-07-28T09:16:00Z,Myrtle Beach,Atlantic Ocean,United States,,N77431,FALSE,DirectorBrief,2023-11-15T05:00:00Z,Serious,0,1,0,An encounter with convectively induced turbulence (CIT) while in cruise flight.,,34.516667,-74.085278,BOEING,737-924ER,AIR,,,FALSE,2,SCHD,,121,None,IMC,UNITED AIRLINES INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=192742,11/15/2023 19:00
DCA23WA385,INC,192745,2023-07-27T07:40:00Z,Seoul,,Republic Of Korea,,N407DX,FALSE,None,,Minor,0,0,1,,,0,0,AIRBUS,A330-941,AIR,,,FALSE,2,,,121,None,,Delta Air Lines,N/A,FALSE,,
DCA23LA383,ACC,192743,2023-07-24T16:30:00Z,East Palestine,Ohio,United States,,N279WN,FALSE,DirectorBrief,2023-10-16T04:00:00Z,Serious,0,1,0,An inadvertent encounter with convectively induced turbulence (CIT) during descent.,,40.88,-80.658,BOEING,737,AIR,,,FALSE,2,SCHD,,121,None,IMC,SOUTHWEST AIRLINES CO,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=192743,10/16/2023 18:00
DCA23WA394,ACC,192790,2023-07-24T12:00:00Z,Fuimicino,,Italy,,N189DN,FALSE,None,,None,0,0,0,,,0,0,BOEING,767-332,AIR,,,FALSE,2,SCHD,,121,Minor,,DELTA AIR LINES INC,N/A,FALSE,,
DCA23LA395,ACC,192791,2023-07-23T04:00:00Z,Fort Lauderdale,Florida,United States,,N229NV,FALSE,DirectorBrief,,Serious,0,1,0,,,28.4,-80.35,AIRBUS,A320-214,AIR,,,FALSE,2,SCHD,,121,None,VMC,"Allegiant Air, LLC",In work,FALSE,,
DCA23WA363,ACC,192633,2023-07-17T02:30:00Z,Tel Aviv,,Israel,,"OE-LRG, N918FD",FALSE,None,,,0,0,0,,,32.011398,34.8867,"BOEING, BOEING","747, 757-23A","AIR,AIR",,,"FALSE,FALSE",",2",,",","NUSC,121","Minor,Substantial",,"Challenge Belgium,FEDERAL EXPRESS CORP",N/A,FALSE,,
DCA23LA378,ACC,192698,2023-07-12T16:10:00Z,Inverness,Florida,United States,,N249NV,FALSE,DirectorBrief,2023-10-19T04:00:00Z,Serious,0,2,4,An inadvertent encounter with convectively induced turbulence during descent.,,27.9102,-82.687401,AIRBUS,A320-214,AIR,,,FALSE,2,SCHD,,121,None,IMC,"Allegiant Air, LLC",Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=192698,10/17/2023 18:00
ENG23LA031,INC,192493,2023-06-28T11:19:00Z,Newark,New Jersey,United States,,N37516,FALSE,DirectorBrief,,None,0,0,0,,,40.688689,-74.173724,BOEING,737-9,AIR,EWR,NEWARK LIBERTY INTL,FALSE,2,SCHD,,121,Minor,,United Airlines,In work,FALSE,,
DCA23FA339,ACC,192485,2023-06-28T09:58:00Z,Charlotte,North Carolina,United States,,N955AT,FALSE,DirectorBrief,,None,0,0,0,,,35.215366,-80.955103,BOEING,717-200,AIR,CLT,CHARLOTTE/DOUGLAS INTL,FALSE,2,SCHD,,121,Substantial,,Delta Air Lines Inc,In work,FALSE,,
DCA23WA336,OCC,192475,2023-06-25T04:00:00Z,Monterrey,,Mexico,,N310JZ,FALSE,None,,,0,0,0,,,0,0,EMBRAER,ERJ170,AIR,,,FALSE,,SCHD,,121,None,,Envoy Air,N/A,FALSE,,
DCA23LA305,ACC,192293,2023-06-01T18:06:00Z,Chicago,Illinois,United States,,N28457,FALSE,DirectorBrief,2023-10-16T04:00:00Z,Serious,0,1,0,An encounter with convectively-induced turbulence (CIT).,,42.6315,-88.2718,BOEING,737-924ER,AIR,,,FALSE,2,SCHD,,121,None,VMC,UNITED AIRLINES INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=192293,10/16/2023 18:00
DCA23LA304,ACC,192290,2023-06-01T17:32:00Z,Houston,Texas,United States,,N479UA,FALSE,DirectorBrief,2023-11-15T05:00:00Z,Serious,0,1,0,An encounter with convectively-induced turbulence (CIT).,,29.9902,-95.3368,AIRBUS INDUSTRIE,A320-232,AIR,,,FALSE,2,SCHD,,121,None,IMC,UNITED AIRLINES INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=192290,11/15/2023 19:00
DCA23WA291,INC,192204,2023-05-11T04:00:00Z,Monterrey,,Mexico,,N518VL,FALSE,None,,None,0,0,0,,,0,0,AIRBUS,A320-233,AIR,,,FALSE,2,SCHD,,121,Minor,,Volaris,N/A,FALSE,,
DCA23LA278,ACC,135369,2023-05-05T05:54:00Z,Charlotte,North Carolina,United States,,N921US,FALSE,DirectorBrief,2023-07-18T04:00:00Z,None,0,0,0,The captain’s failure to maintain the appropriate airspeed and pitch attitude during landing which resulted in a tailstrike.,,35.215878,-80.950875,AIRBUS,A321-231,AIR,CLT,CHARLOTTE/DOUGLAS INTL,FALSE,2,SCHD,,121,Substantial,VMC,AMERICAN AIRLINES INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=135369,3/27/2024 18:00
DCA23LA252,ACC,107126,2023-04-22T13:00:00Z,Atlantic Ocean,Atlantic Ocean,United States,,N770AN,FALSE,DirectorBrief,,Serious,0,1,3,,,39.011172,-41.008763,BOEING,777-223,AIR,,,FALSE,2,SCHD,,121,None,,AMERICAN AIRLINES INC,In work,FALSE,,
DCA23WA241,INC,107082,2023-04-17T16:09:00Z,Mexico City,,Mexico,,N694DL,FALSE,None,,,0,0,0,,,0,0,BOEING,757-232,AIR,,,FALSE,2,SCHD,,121,Minor,,DELTA AIR LINES INC,N/A,FALSE,,
DCA23WA222,INC,106988,2023-03-30T04:00:00Z,Belize City,,Belize,,N940AN,FALSE,None,,,0,0,0,,,0,0,BOEING,737-823,AIR,,,FALSE,2,SCHD,,121,None,,American Airlines,N/A,FALSE,,
DCA23LA232,ACC,107036,2023-03-24T07:15:00Z,Saltillo,,Mexico,,N834US,FALSE,None,,None,0,0,0,,,25.549499,-100.929,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,AIR,MMIO,Saltillo/Plan de Guadalupe Intl General Airport,FALSE,2,NSCH,,121,Substantial,,USA JET AIRLINES INC,In work,FALSE,,
DCA23LA221,ACC,106964,2023-03-22T18:26:00Z,Houston,Texas,United States,,N1902U,FALSE,DirectorBrief,2023-06-16T04:00:00Z,None,0,0,0,The first officer's failure to maintain the correct airspeed and pitch attitude during landing which resulted in a tailstrike.,,29.9778,-95.3057,AIRBUS,A320-232,AIR,IAH,GEORGE BUSH INTCNTL/HOUSTON,FALSE,2,SCHD,,121,Substantial,VMC,UNITED AIRLINES INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=106964,6/20/2023 19:00
DCA23LA213,ACC,106933,2023-03-21T16:23:00Z,Sacramento,California,United States,,N79011,FALSE,DirectorBrief,2023-06-16T04:00:00Z,Serious,0,1,0,An encounter with forecast convective turbulence during climb.,,38.41679,-121.56391,BOEING,777-224,AIR,,,FALSE,2,SCHD,,121,None,VMC,UNITED AIRLINES INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=106933,6/20/2023 19:00
DCA23WA302,INC,106838,2023-03-05T19:05:00Z,Havana,,Cuba,,N8792Q,FALSE,None,,,0,0,0,,,23.108214,-82.377248,BOEING,737-8,AIR,,,FALSE,2,SCHD,,121,Minor,,SOUTHWEST AIRLINES CO,N/A,FALSE,,
DCA23LA196,ACC,106815,2023-03-02T16:20:00Z,Dallas,Texas,United States,,N366FR,FALSE,DirectorBrief,,Serious,0,1,0,,,32.8998,-97.0403,AIRBUS,A320-251N,AIR,,,FALSE,2,SCHD,,121,None,,Frontier Airlines,In work,FALSE,,
DCA23LA192,INC,106806,2023-02-27T20:54:00Z,Boston,Massachusetts,United States,,"N280LJ, N179JB",FALSE,DirectorBrief,2023-08-03T04:00:00Z,,0,0,0,The Hop-a-Jet flight crew taking off without a takeoff clearance which resulted in a conflict with a JetBlue flight that had been cleared to land on an intersecting runway.,,42.366978,-71.022362,"LEARJET INC, EMBRAER","60, ERJ 190-100 IGW","AIR,AIR",KBOS,Boston-Logan Innternational Airport,"FALSE,FALSE","2,2",NSCH,"POSI,","91,121","None,None",VMC,"Hop A Jet,JetBlue Airways",Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=106806,8/3/2023 18:30
DCA23LA191,ACC,106804,2023-02-24T22:30:00Z,New York,New York,United States,,N337JB,FALSE,DirectorBrief,,Serious,0,1,0,,,40.64749,-73.779982,EMBRAER,ERJ 190-100 IGW,AIR,,,FALSE,2,SCHD,,121,None,,JETBLUE AIRWAYS CORP,In work,FALSE,,
DCA23LA185,INC,106779,2023-02-22T20:55:00Z,Burbank,California,United States,,"N954LR, N619UX",FALSE,DirectorBrief,,None,0,0,0,,,34.200699,-118.359,"BOMBARDIER INC, EMBRAER S A","CL-600-2D24, ERJ 170-200 LL","AIR,AIR",BUR,Bob Hope Airport,"FALSE,FALSE","2,2",SCHD,",","121,121","None,None",,"MESA AIRLINES INC,",In work,FALSE,,
DCA23LA179,INC,106768,2023-02-16T22:59:00Z,Sarasota,Florida,United States,,"N976NN, C-FJQH",FALSE,DirectorBrief,,None,0,0,0,,,27.3951,-82.5538,"BOEING, AIRBUS","737-823, 321","AIR,AIR",KSRQ,Sarasota- Bradenton  International,"FALSE,FALSE","2,",SCHD,",","121,129","None,None",VMC,"AMERICAN AIRLINES INC,Air Canada Rouge",In work,FALSE,,
DCA23LA175,ACC,106744,2023-02-16T09:30:00Z,New Orleans,Louisiana,United States,,N505NK,FALSE,DirectorBrief,2023-07-19T04:00:00Z,Serious,0,1,2,The flight’s encounter with convective turbulence.,,29.993333,-90.258056,AIRBUS,A319-132,AIR,,,FALSE,2,SCHD,,121,None,VMC,SPIRIT AIRLINES INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=106744,7/19/2023 18:00
DCA23LA170,ACC,106723,2023-02-10T23:51:00Z,Rushville,Indiana,United States,,N944AN,FALSE,DirectorBrief,2024-03-12T04:00:00Z,Serious,0,1,0,An encounter with clear air turbulence during descent.,,39.61003,-85.45,BOEING,737,AIR,,,FALSE,2,SCHD,,121,None,VMC,American Airlines,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=106723,3/12/2024 18:00
DCA23FA149,INC,106680,2023-02-04T08:40:00Z,Austin,Texas,United States,,"N7827A, N297FE",FALSE,Report,,None,0,0,0,,,30.1975,-97.6664,"BOEING, BOEING","737-79P, 767-32LF","AIR,AIR",AUS,Austin-Bergstrom International Airport,"FALSE,FALSE","2,2",SCHD,",","121,121","None,None",,"SOUTHWEST AIRLINES CO,FEDERAL EXPRESS CORP",In work,FALSE,https://data.ntsb.gov/Docket?ProjectID=106680,11/29/2023 22:00
DCA23WA184,OCC,106777,2023-02-04T05:00:00Z,Derby,,United Kingdom,,N370UP,FALSE,None,,Serious,0,1,0,,,52.830684,-1.328283,BOEING,767-300F,AIR,,,FALSE,2,,,121,None,,UNITED PARCEL SERVICE CO,N/A,FALSE,,
DCA23LA133,INC,106632,2023-01-23T18:11:00Z,Honolulu,Hawaii,United States,,"N774UA, N145KA",FALSE,DirectorBrief,,None,0,0,0,,,21.318701,-157.92199,"BOEING, CESSNA","777-222, 208B","AIR,AIR",HNL,DANIEL K INOUYE INTL,"FALSE,FALSE","2,1",SCHD,",","121,135","None,None",,"UNITED AIRLINES INC,KAMAKA AIR LLC",In work,FALSE,,
DCA23LA125,INC,106577,2023-01-13T22:44:00Z,Queens,New York,United States,,"N914DU, N754AN",FALSE,DirectorBrief,,None,0,0,0,,,40.6413,-73.7781,"BOEING, BOEING","737-900ER, 777-223","AIR,AIR",KJFK,John F. Kennedy International Airport,"FALSE,FALSE","2,2",SCHD,",","121,121","None,None",VMC,"Delta Airlines,American Airlines",In work,FALSE,https://data.ntsb.gov/Docket?ProjectID=106577,1/29/2024 19:00
DCA23WA127,INC,106572,2023-01-12T08:52:00Z,Amsterdam,,Netherlands,,N802NW,FALSE,None,,,0,0,0,,,0,0,AIRBUS,A330-323,AIR,,,FALSE,2,,,121,Minor,,Delta Airlines,N/A,FALSE,,
DCA23LA114,ACC,106534,2023-01-02T05:00:00Z,New York,New York,United States,,N928XJ,FALSE,DirectorBrief,,None,0,0,0,,,40.635494,-73.782786,BOMBARDIER INC,CL-600-2D24,AIR,JFK,John F. Kennedy International Airport,FALSE,2,SCHD,,121,Substantial,,Endeavor Airlines,In work,FALSE,,
DCA23LA109,ACC,106517,2022-12-31T17:39:00Z,Montgomery,Alabama,United States,,N264NN,FALSE,DirectorBrief,,Fatal,1,0,0,,,32.302887,-86.39117,EMBRAER S A,ERJ 170-200 LR,AIR,MGM,MONTGOMERY RGNL (DANNELLY FLD),FALSE,2,SCHD,,121,Minor,VMC,Envoy Air Inc.,In work,FALSE,,
DCA23LA172,INC,106734,2022-12-18T16:51:00Z,Kahului,Hawaii,United States,,N212UA,FALSE,DirectorBrief,2023-08-10T04:00:00Z,None,0,0,0,"The flight crew’s failure to manage the airplane’s vertical flightpath, airspeed, and pitch attitude following a miscommunication about the captain’s desired flap setting during the initial climb.",,20.898649,-156.43045,BOEING,777,AIR,,,FALSE,2,SCHD,,121,None,IMC,UNITED AIRLINES INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=106734,8/10/2023 18:30
DCA23LA096,ACC,106472,2022-12-18T12:07:00Z,Kahului,Hawaii,United States,,N393HA,FALSE,DirectorBrief,,Serious,0,6,19,,,20.8893,-156.4729,AIRBUS,A330-243,AIR,,,FALSE,2,SCHD,,121,Minor,,HAWAIIAN AIRLINES INC,In work,FALSE,,
DCA23WA097,ACC,106473,2022-12-18T05:00:00Z,Chiacam,,Guatemala,,N87531,FALSE,None,,Serious,0,1,0,,,15.552986,-90.128383,BOEING,737-824,AIR,,,FALSE,2,SCHD,,121,None,,UNITED AIRLINES INC,N/A,FALSE,,
DCA23LA093,ACC,106439,2022-12-08T05:00:00Z,Newark,New Jersey,United States,,N649UA,FALSE,DirectorBrief,,Serious,0,1,3,,,40.700601,-74.162973,BOEING,767-322,AIR,,,FALSE,2,SCHD,,121,None,,UNITED AIRLINES INC,In work,FALSE,,
DCA23LA090,ACC,106414,2022-12-03T18:11:00Z,Taneytown,Maryland,United States,,N85356,FALSE,DirectorBrief,2024-03-12T04:00:00Z,Serious,0,1,0,An encounter with turbulence during descent.,,39.683933,-77.225094,EMBRAER,ERJ170,AIR,,,FALSE,2,SCHD,,121,None,VMC,Mesa Airlines,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=106414,3/12/2024 18:00
DCA23LA086,ACC,106401,2022-11-30T01:00:00Z,Denver,Colorado,United States,,N946WN,FALSE,DirectorBrief,2023-10-16T04:00:00Z,Serious,0,1,1,The flight’s encounter with mechanical turbulence.,,40.309,-105.361,BOEING,737,AIR,,,FALSE,2,SCHD,,121,None,VMC,SOUTHWEST AIRLINES CO,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=106401,10/16/2023 18:00
DCA23LA067,ACC,106329,2022-11-19T22:51:00Z,Red Oak,Iowa,United States,,N330NW,FALSE,DirectorBrief,2023-10-16T04:00:00Z,None,0,0,0,Multiple bird strikes during descent.,,40.927677,-95.336266,AIRBUS,A320,AIR,,,FALSE,2,SCHD,,121,Substantial,VMC,DELTA AIR LINES INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=106329,10/16/2023 18:00
DCA23LA050,ACC,106279,2022-11-10T05:00:00Z,Miami,Florida,United States,,N316SE,FALSE,DirectorBrief,2023-04-20T04:00:00Z,Serious,0,1,0,An encounter with convective turbulence during descent.,,25.803333,-80.294722,BOEING,737-8,AIR,,,FALSE,2,SCHD,,121,None,VMC,American Airlines Inc,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=106279,4/20/2023 19:00
DCA23LA060,ACC,106309,2022-11-02T22:40:00Z,New Orleans,Louisiana,United States,,N519NK,FALSE,DirectorBrief,2023-06-16T04:00:00Z,Serious,0,1,0,"The captain’s pitch up input to avoid an overspeed condition, which resulted in a flight attendant falling and fracturing her ankle. Contributing was the airplane’s excessive airspeed during the transition to the automation-managed descent profile.",,29.993278,-90.259028,AIRBUS,A319,AIR,,,FALSE,2,SCHD,,121,None,VMC,SPIRIT AIRLINES INC,Completed,FALSE,,
DCA23WA044,INC,106249,2022-11-02T04:00:00Z,LIberia,,Costa Rica,,N6714Q,FALSE,None,,None,0,0,0,,,0,0,BOEING,757-232,AIR,,,FALSE,2,,,121,Minor,,DELTA AIR LINES INC,N/A,FALSE,,
DCA23LA005,INC,106077,2022-10-05T19:00:00Z,Dayton,Ohio,United States,,N447AW,FALSE,DirectorBrief,,None,0,0,0,,,39.902252,-84.219412,BOMBARDIER INC,CL-600-2B19,AIR,DAY,JAMES M COX DAYTON INTL,FALSE,2,SCHD,,121,Minor,VMC,AIR WISCONSIN AIRLINES LLC,In work,FALSE,,
DCA23LA008,ACC,106083,2022-09-29T11:30:00Z,Denver,Colorado,United States,,N7881A,FALSE,DirectorBrief,2023-04-20T04:00:00Z,Serious,0,1,0,An encounter with clear air turbulence during cruise flight.,,39.861667,-104.67316,BOEING,737,AIR,,,FALSE,2,SCHD,,121,None,VMC,Southwest Airlines,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=106083,4/20/2023 19:00
DCA22LA212,INC,106004,2022-09-22T13:00:00Z,Los Angeles,California,United States,,N393HA,FALSE,DirectorBrief,,None,0,0,0,,,33.9416,-118.4085,AIRBUS,A330-243,AIR,,,FALSE,2,SCHD,,121,None,Unknown,Hawaiian Airlines,In work,FALSE,,
DCA22LA201,ACC,105950,2022-09-11T16:50:00Z,Chicago,Illinois,United States,,"N963WN, N909NN",FALSE,DirectorBrief,2023-07-18T04:00:00Z,None,0,0,0,Southwest Airlines flight crew’s misjudgment of the distance required to safely pass the American Airlines airplane.,,41.9803,-87.909,"BOEING, BOEING","737-7H4, 737-823","AIR,AIR",KORD,Chicago O'Hare International,"FALSE,FALSE","2,2",SCHD,",","121,121","Minor,Substantial",VMC,"SOUTHWEST AIRLINES CO,American Airlines Inc",Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=105950,7/18/2023 18:00
DCA22LA198,ACC,105895,2022-09-04T21:35:00Z,New York,New York,United States,,N113DQ,FALSE,DirectorBrief,2023-07-18T04:00:00Z,Serious,0,1,0,An encounter with convective turbulence.,,40.78,-73.87,AIRBUS,220,AIR,,,FALSE,2,SCHD,,121,None,VMC,Delta Air Lines,Completed,FALSE,,
DCA23WA014,INC,106113,2022-09-02T10:04:00Z,Schiphol,,Netherlands,,N787UA,FALSE,None,,,0,0,0,,,52.308762,4.7727,BOEING,777-222,AIR,AMS,Amsterdam Airport,FALSE,2,SCHD,,121,None,,UNITED AIRLINES INC,N/A,FALSE,,
DCA22LA196,ACC,105884,2022-09-01T22:18:00Z,Denver,Colorado,United States,,N76529,FALSE,DirectorBrief,2023-04-20T04:00:00Z,Serious,0,1,0,"An encounter with clear air turbulence, which resulted in a serious injury as a flight attendant was lowering her jumpseat.",,39.961385,-104.80581,BOEING,737-824,AIR,,,FALSE,2,SCHD,,121,None,VMC,UNITED AIRLINES INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=105884,4/20/2023 4:00
DCA22LA191,ACC,105843,2022-08-29T17:43:00Z,Detroit,Michigan,United States,,N946AT,FALSE,DirectorBrief,2023-04-20T04:00:00Z,Serious,0,1,0,An encounter with moderate turbulence during descent.,,42.2125,-83.35333,BOEING,717-200,AIR,,,FALSE,2,SCHD,,121,None,VMC,DELTA AIR LINES INC,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=105843,4/20/2023 19:00
DCA22LA188,ACC,105801,2022-08-19T20:17:00Z,Pharisburg,Ohio,United States,,N73270,FALSE,DirectorBrief,2023-07-18T04:00:00Z,Serious,0,1,0,The airplane’s inadvertent encounter with convective turbulence.,,40.337574,-83.287203,BOEING,737-824,AIR,,,FALSE,2,SCHD,,121,None,VMC,United Airlines,Completed,FALSE,https://data.ntsb.gov/Docket?ProjectID=105801,7/19/2023 12:00
